id,price,category,subcat,# of bedrooms,# of bathrooms,build size,land size,subdivision,data furnished,latitude,longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO626BABC037C57PH,1918427.15,house,townhouse,2,2,38,36,Hana South,,120.8443843,14.2737173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5F6C4E2B6406BPH,2725680,house,single-family-house,2,2,79.2,152,Hana South,,121.104518,13.764085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A902BF19PH,1013431.19,house,townhouse,1,1,34,52,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E38E425B5BC8PH,5493461.26,house,single-family-house,3,3,123.8,140,West Beverly Hills,,120.947323,14.27863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A8F32B03PH,894144.2,house,townhouse,1,1,34,31,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO624FFD4E1A05APH,1700404.34,house,townhouse,1,1,46.6,67,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64829C59PH,2918180,house,single-family-house,2,2,46,110,San Francisco Heights,,121.113605,14.191945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6225D1010D4F7PH,10151000,house,single-family-house,5,3,166,143,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62272D4F63F76PH,2134000,house,townhouse,2,1,36,44,Camella Taal,,120.952088,13.880806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E69C097D3CFDPH,5280000,house,single-family-house,2,1,48,0,0,,121.7469,14.127875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D1DA1066A629PH,6500000,house,single-family-house,4,3,119,150,The Villages at Lipa,,121.165534,14.007163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA4749F36APH,1880600,house,townhouse,3,1,40,40,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO613F2443436EBPH,3700000,house,single-family-house,3,2,55,80,Estanzia Enclave,,120.822985,14.35989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64E4BF8CPH,1366658,house,single-family-house,1,1,25,58,Gran Avila,,121.104962,14.196755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6092758398D3EPH,5978000,house,single-family-house,3,3,90,100,Lancaster New City,,120.896613,14.37318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A649E3F13PH,8466000,house,single-family-house,4,3,136.25,176,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
